date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:32	41630/41630	---M-Z	200	added ('OK')	text/html	etag:%22a29e-5d5bf4113720d-gzip%22	https://coderthemes.com/simple/layouts/vertical/index.html	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/index.html	(from )
15:00:32	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Sep%202024%2012:00:33%20GMT	https://coderthemes.com/robots.txt		(from )
15:00:33	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5d5bf4112d5ce%22	https://coderthemes.com/simple/layouts/vertical/assets/images/favicon.ico	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/images/favicon.ico	(from https://coderthemes.com/simple/layouts/vertical/index.html)
15:00:34	208012/208012	---M-Z	200	added ('OK')	text/css	etag:%2232c8c-5d5bf4111cc2f-gzip%22	https://coderthemes.com/simple/layouts/vertical/assets/css/bootstrap.min.css	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/css/bootstrap.min.css	(from https://coderthemes.com/simple/layouts/vertical/index.html)
15:00:34	64069/64069	---M-Z	200	added ('OK')	text/css	etag:%22fa45-5d5bf4111bc8f-gzip%22	https://coderthemes.com/simple/layouts/vertical/assets/css/app.min.css	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/css/app.min.css	(from https://coderthemes.com/simple/layouts/vertical/index.html)
15:00:35	371115/371115	---MCZ	200	added ('OK')	text/css	etag:%225a9ab-5d5bf4111cc2f-gzip%22	https://coderthemes.com/simple/layouts/vertical/assets/css/icons.min.css	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/css/icons.min.css	(from https://coderthemes.com/simple/layouts/vertical/index.html)
15:00:35	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-5d5bf4112d5ce%22	https://coderthemes.com/simple/layouts/vertical/assets/images/flags/us.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/images/flags/us.jpg	(from https://coderthemes.com/simple/layouts/vertical/index.html)
15:00:36	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-5d5bf4112d5ce%22	https://coderthemes.com/simple/layouts/vertical/assets/images/flags/spain.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/images/flags/spain.jpg	(from https://coderthemes.com/simple/layouts/vertical/index.html)
15:00:36	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-5d5bf4112d5ce%22	https://coderthemes.com/simple/layouts/vertical/assets/images/flags/italy.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/images/flags/italy.jpg	(from https://coderthemes.com/simple/layouts/vertical/index.html)
15:00:36	651/651	---M--	200	added ('OK')	image/jpeg	etag:%2228b-5d5bf4112d5ce%22	https://coderthemes.com/simple/layouts/vertical/assets/images/flags/french.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/images/flags/french.jpg	(from https://coderthemes.com/simple/layouts/vertical/index.html)
15:00:36	633/633	---M--	200	added ('OK')	image/jpeg	etag:%22279-5d5bf4112d5ce%22	https://coderthemes.com/simple/layouts/vertical/assets/images/flags/russia.jpg	C:/Users/Qusai%20sn/Desktop/new%20master%20piece/admin/admin/coderthemes.com/simple/layouts/vertical/assets/images/flags/russia.jpg	(from https://coderthemes.com/simple/layouts/vertical/index.html)
